Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:30:38.668796Z,3.5088376853924665,20.984,46446319.133812614,93023238.23556702,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:31:00.823271Z,3.5088376853924665,21.438,48306854.43070665,81996497.44200906,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:31:22.990885Z,3.5088376853924665,20.989,48099276.44612341,93024654.59501976,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:31:45.111540Z,3.5088376853924665,20.979,48245452.27372918,91748900.85249643,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:32:06.724869Z,3.5088376853924665,21.362,48340966.703173764,90373278.75492392,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:32:28.310666Z,3.5088376853924665,21.249,47158126.87789899,92907053.73276426,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:32:50.348784Z,3.5088376853924665,21.34,46075529.21775611,92050882.6248084,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:33:12.099053Z,3.5088376853924665,21.165,38649580.40188059,92908744.9011291,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:33:33.727047Z,3.5088376853924665,21.334,48365513.67037889,92338640.6449131,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:33:55.418231Z,3.5088376853924665,21.831,48399943.42702017,79777310.53992942,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:34:17.723427Z,3.5088376853924665,83.412,41780422.85761796,91965336.76716389,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:34:40.240547Z,3.5088376853924665,21.966,48390617.71128959,93720590.33728285,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:35:02.108683Z,3.5088376853924665,21.602,46315579.60724755,79893603.98559451,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:35:24.265621Z,3.5088376853924665,21.969,48221065.60556555,92933783.74861859,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:35:45.843328Z,3.5088376853924665,21.008,48136158.60429305,94464751.8655685,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:36:07.478643Z,3.5088376853924665,24.493,47213744.00446813,77628246.93453722,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:36:29.520505Z,3.5088376853924665,20.82,48198686.57025909,94463210.71158943,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:36:51.038461Z,3.5088376853924665,21.23,48356397.31541368,94526780.65913576,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:37:13.074750Z,3.5088376853924665,21.149,41981282.00072972,93021286.09669453,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:37:34.639182Z,3.5088376853924665,21.347,47972935.3270721,92694177.32115662,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:37:56.458153Z,3.5088376853924665,21.308,46241561.48295599,91905771.57649417,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:38:18.381450Z,3.5088376853924665,21.118,43666175.07574904,91188407.5084987,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:38:40.295196Z,3.5088376853924665,21.165,48049524.787939645,91299643.97425377,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:39:02.103188Z,3.5088376853924665,22.686,46487507.856920846,83313707.02373652,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:39:24.321483Z,3.5088376853924665,22.116,47816082.31028874,90590400.30769429,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:39:46.142595Z,3.5088376853924665,21.915,48310757.28851807,91446710.40395473,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:40:08.002710Z,3.5088376853924665,21.835,48349427.95074547,89325068.38131742,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:40:29.664928Z,3.5088376853924665,22.112,48288740.10497,94282999.88956824,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:40:51.302284Z,3.5088376853924665,22.062,48272572.02938184,94612889.26821578,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:41:12.860477Z,3.5088376853924665,27.888,41442132.02724925,94098020.91003403,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:41:34.921932Z,3.5088376853924665,21.016,48172088.19201724,91074366.86069651,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:41:56.822302Z,3.5088376853924665,21.031,48133829.83313646,92443051.44168067,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:42:18.522409Z,3.5088376853924665,21.227,43613846.50608483,92798563.10494792,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:42:40.172877Z,3.5088376853924665,20.973,46634072.54559956,92428164.07607788,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:43:02.242047Z,3.5088376853924665,21.221,48268068.593526594,82220015.9409532,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:43:24.776561Z,3.5088376853924665,20.981,46844225.90189827,92954501.14375341,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:43:46.793852Z,3.5088376853924665,21.229,47847145.51637901,92894323.88511738,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:44:08.561497Z,3.5088376853924665,21.238,48349570.73247174,83913032.47751582,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:44:30.098614Z,3.5088376853924665,21.118,48116711.063672,93147062.64241664,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:44:51.736446Z,3.5088376853924665,21.996,48219798.96830029,90528657.04360817,,213.164.24.3
